id,first_name,last_name,birthdate,gender,city,orders,order_amount,opt_in
1,Wessel,Peterse,1991-02-27,male,Amsterdam,3,41,False
2,Bilal,van den Henst,2000-12-07,male,Rotterdam,4,64,False
3,Amir,de Haas,1992-09-14,male,Amsterdam,8,29,True
4,Noa,Huijben,1991-07-22,female,Eindhoven,3,7,False
5,Zara,Arent,2002-01-22,female,Amsterdam,2,31,False
6,Mika,Volcke,1993-07-23,male,Rotterdam,3,17,False
7,Bilal,de Plantard,1991-04-12,male,Den Haag,3,3,False
8,Kyra,van Salmen,1995-04-13,female,Rotterdam,8,3,True
9,Bastiaan,Spruyt,1998-12-15,male,Den Haag,4,4,True
10,Ashley,de Bock,1999-10-17,female,Utrecht,2,12,True
11,Matthijs,Jorrisen,2000-06-30,male,Den Haag,1,7,True
12,Annemijn,Kort,1997-01-27,female,Rotterdam,3,96,False
13,Faye,Wolzak,1994-06-07,female,Den Haag,1,17,False
14,Joy,Smits,1991-05-11,female,Den Haag,12,30,False
15,Valentijn,Bresé,1996-09-14,male,Eindhoven,2,8,True
16,Daphne,Robbrechts Bruijne,1997-06-13,female,Rotterdam,6,7,False
17,Elena,Broeders,1999-06-24,female,Eindhoven,12,28,False
18,Elena,Takkelenburg,1993-06-26,female,Eindhoven,1,18,True
19,Ali,Lommert,1992-12-01,male,Rotterdam,2,38,False
20,Vincent,Elsenaar,1996-03-23,male,Amsterdam,2,5,False
21,Kevin,Olykan,2002-04-19,male,Amsterdam,9,6,True
22,Pien,Ghoerle,1993-08-29,female,Eindhoven,1,15,True
23,Floor,van Maasgouw,1998-12-07,female,Den Haag,2,22,False
24,Aron,Middelkoop,1996-12-23,male,Eindhoven,2,20,False
25,Lex,Van Bragt,1998-12-29,male,Eindhoven,4,54,True
26,Lars,van Dongen,1999-01-15,male,Eindhoven,1,13,False
27,Sarah,Vergeer,1993-12-03,female,Eindhoven,4,32,False
28,Kai,van Dokkum,1998-06-24,male,Den Haag,2,110,False
29,Fleur,Doesburg,1994-03-10,female,Rotterdam,5,35,True
30,Jennifer,van Brunswijk,2000-01-17,female,Den Haag,2,13,True
31,Britt,van Loon,1997-06-10,female,Den Haag,5,3,False
32,Puck,Wooning,2001-12-08,female,Utrecht,5,10,False
33,Duuk,Cosman,2002-12-10,male,Rotterdam,2,18,True
34,Pippa,Françoise,1995-08-12,female,Rotterdam,4,17,True
35,Willem,van Mare,1996-07-14,male,Amsterdam,9,31,False
36,Sander,Poncelet,1992-03-26,male,Utrecht,2,7,False
37,Benjamin,Hendriks,1995-11-24,male,Amsterdam,6,14,True
38,Phileine,Hermans,1992-07-09,female,Rotterdam,1,42,False
39,Samuel,van den Broek,1996-06-03,male,Den Haag,2,9,False
40,James,Rehorst,2000-12-24,male,Utrecht,2,23,True
